['48.924085#2.543355#0', '48.926194#2.526268#0'] 12
['48.994889#2.428800#0', '48.986383#2.444431#1'] 12
['48.943812#2.136632#0', '48.997239#2.084227#0'] 12
['48.943812#2.136632#0', '48.921229#2.180011#0'] 12
['48.943812#2.136632#0', '48.959875#2.068960#0'] 12
['48.943812#2.136632#0', '48.933113#2.155929#0'] 23
['48.764306#2.270864#1', '48.757561#2.284823#1'] 12
['48.778274#2.471103#0', '48.773931#2.457524#0'] 13
['48.949009#2.446863#0', '48.944123#2.458597#0'] 15
['48.949009#2.446863#0', '48.944123#2.458597#1'] 13
['48.957937#2.603816#0', '48.942738#2.598304#0'] 13
['48.957937#2.603816#0', '48.942738#2.598304#1'] 12
['48.683180#2.165638#0', '48.698893#2.186023#0'] 13
['48.945243#2.384166#0', '48.949062#2.374304#1'] 15
['48.789873#2.294063#0', '48.787640#2.281050#1'] 14
['48.787640#2.281050#1', '48.782473#2.257900#1'] 13
['48.965009#2.364269#0', '48.973242#2.372624#0'] 18
['48.950537#2.264501#0', '48.953983#2.232212#0'] 12
['48.950537#2.264501#0', '48.967970#2.257986#0'] 12
['48.950537#2.264501#0', '48.950289#2.248321#0'] 19
['48.908877#2.526136#0', '48.926194#2.526268#0'] 12
['48.843715#2.131428#0', '48.867424#2.136955#0'] 13
['48.769654#2.468616#0', '48.785903#2.446684#0'] 13
['48.945210#2.482930#0', '48.944123#2.458597#0'] 12
['48.945210#2.482930#0', '48.953883#2.497470#0'] 15
['48.665592#2.556586#0', '48.604454#2.572366#0'] 13
['48.629327#2.582012#0', '48.678214#2.532544#0'] 13
['48.670802#2.317005#0', '48.632784#2.317428#0'] 13
['48.670802#2.317005#0', '48.678298#2.342256#0'] 13
['48.670802#2.317005#0', '48.605079#2.303253#0'] 12
['48.956181#2.278823#1', '48.967970#2.257986#1'] 15
['48.895386#2.069087#0', '48.895672#2.084807#1'] 17
['48.895386#2.069087#0', '48.895672#2.084807#0'] 30
['48.860136#2.532564#0', '48.866829#2.498014#0', '48.860136#2.532564#1'] 16
['48.810726#2.124915#0', '48.809877#2.153303#1'] 12
['48.795647#2.141527#0', '48.809877#2.153303#1'] 14
['48.921229#2.180011#0', '48.925346#2.191841#1'] 22
['48.925346#2.191841#1', '48.903717#2.215077#1'] 17
['48.924715#2.213861#0', '48.939045#2.220896#0'] 13
['48.613415#2.382103#0', '48.634551#2.429733#0'] 12
['48.819829#2.561254#0', '48.817920#2.544864#1'] 13
['48.819829#2.561254#0', '48.817920#2.544864#0'] 18
['48.876667#2.444925#0', '48.891128#2.427165#0'] 12
['48.701256#2.418121#0', '48.699575#2.439531#0'] 13
['48.674668#2.377178#1', '48.691485#2.361449#1', '48.672882#2.359563#1'] 14
['48.654661#2.370519#0', '48.674668#2.377178#1'] 13
['48.672882#2.359563#0', '48.674668#2.377178#1', '48.672882#2.359563#1'] 13
['48.674668#2.377178#1', '48.654661#2.370519#1'] 16
['48.940019#2.180259#0', '48.933113#2.155929#0', '48.940019#2.180259#1'] 17
['48.940019#2.180259#0', '48.942269#2.198847#0'] 14
['48.783712#2.602045#0', '48.797008#2.610334#0'] 18
['48.783712#2.602045#0', '48.797008#2.610334#1'] 12
['48.957937#2.603816#1', '48.951446#2.569178#1'] 13
['48.809698#2.582919#1', '48.819829#2.561254#1'] 12
['48.649870#2.405734#0', '48.634551#2.429733#0', '48.649870#2.405734#1'] 17
['48.838732#2.122026#0', '48.824209#2.128807#0'] 25
['48.722897#2.416447#0', '48.699461#2.383516#0'] 22
['48.987094#2.324727#0', '48.980779#2.298456#0'] 24
['48.987094#2.324727#0', '48.972447#2.312795#0'] 14
['48.694821#2.320565#0', '48.702848#2.308796#0'] 12
['48.694821#2.320565#0', '48.702848#2.308796#1'] 15
['48.911215#2.460311#0', '48.917178#2.476528#0'] 17
['48.911215#2.460311#0', '48.914200#2.434987#0'] 12
['48.911215#2.460311#0', '48.891446#2.462865#0'] 13
['48.911215#2.460311#0', '48.903501#2.481000#0'] 16
['48.911215#2.460311#0', '48.905985#2.444557#0'] 22
['48.921229#2.180011#0', '48.900984#2.165119#1'] 12
['48.846235#2.645212#0', '48.838407#2.651012#0', '48.846235#2.645212#1'] 13
['49.005588#2.101945#0', '48.997239#2.084227#0'] 20
['49.005588#2.101945#0', '48.959875#2.068960#0'] 13
['48.850700#2.589359#0', '48.844696#2.614938#0'] 13
['48.850700#2.589359#0', '48.844546#2.574384#0'] 13
['48.956722#2.310445#1', '48.960864#2.292833#1'] 14
['48.960864#2.292833#0', '48.956722#2.310445#1'] 12
['48.952488#2.223592#0', '48.953983#2.232212#0'] 12
['48.757561#2.284823#0', '48.749701#2.304646#0', '48.757561#2.284823#1'] 18
['48.757561#2.284823#0', '48.749701#2.304646#1'] 14
['48.903530#2.511628#0', '48.896192#2.525279#1'] 16
['48.757561#2.284823#1', '48.749701#2.304646#1'] 18
['48.637744#2.441246#0', '48.634551#2.429733#0'] 19
['48.702848#2.308796#0', '48.733322#2.263597#0'] 15
['48.709187#2.446833#0', '48.702721#2.462612#1'] 13
['48.709187#2.446833#0', '48.702721#2.462612#0'] 18
['48.709187#2.446833#0', '48.729959#2.451201#0'] 12
['48.588159#2.238375#0', '48.610913#2.319833#0', '48.588159#2.238375#1'] 17
['48.914130#2.399569#0', '48.907203#2.390498#0'] 14
['48.990760#2.286160#0', '48.979049#2.271983#1'] 13
['48.881526#2.102413#0', '48.895672#2.084807#0'] 24
['48.997239#2.084227#1', '48.959875#2.068960#1'] 13
['48.839220#2.474821#0', '48.835357#2.497429#0', '48.839220#2.474821#1'] 13
['48.825291#2.513902#0', '48.839220#2.474821#1'] 12
