['48.857107#2.360988#0', '48.856473#2.366518#1'] 21
['48.856473#2.366518#1', '48.853076#2.348191#1'] 26
['48.856473#2.366518#1', '48.856729#2.351007#1'] 25
['48.858203#2.306984#0', '48.858574#2.298731#0'] 31
['48.858203#2.306984#0', '48.858221#2.294241#0'] 21
['48.858203#2.306984#0', '48.858574#2.298731#1'] 30
['48.858203#2.306984#0', '48.861963#2.335616#0'] 28
['48.864237#2.349954#0', '48.865951#2.354525#0'] 20
['48.864237#2.349954#0', '48.866243#2.346136#0'] 38
['48.864237#2.349954#0', '48.860468#2.351741#0'] 32
['48.864237#2.349954#0', '48.856729#2.351007#0'] 20
['48.848139#2.344924#0', '48.847136#2.338479#0'] 42
['48.848139#2.344924#0', '48.855393#2.343176#0'] 26
['48.848139#2.344924#0', '48.853002#2.338139#0'] 20
['48.848139#2.344924#0', '48.853076#2.348191#0'] 43
['48.848139#2.344924#0', '48.853076#2.348191#1'] 26
['48.848139#2.344924#0', '48.856729#2.351007#0'] 25
['48.848139#2.344924#0', '48.861963#2.335616#0'] 22
['48.870482#2.325748#1', '48.869421#2.321298#1'] 30
['48.869421#2.321298#0', '48.870482#2.325748#1'] 23
['48.870482#2.325748#1', '48.864878#2.323431#1'] 28
['48.870482#2.325748#1', '48.866648#2.327865#1'] 32
['48.870482#2.325748#1', '48.871809#2.332093#1'] 32
['48.864878#2.323431#0', '48.870482#2.325748#1'] 24
['48.866648#2.327865#0', '48.870482#2.325748#1'] 31
['48.871809#2.332093#0', '48.870482#2.325748#1'] 34
['48.870482#2.325748#1', '48.861963#2.335616#1'] 30
['48.867465#2.341485#1', '48.866243#2.346136#1'] 23
['48.867465#2.341485#1', '48.866383#2.336369#1'] 33
['48.866383#2.336369#0', '48.867465#2.341485#1'] 23
['48.867465#2.341485#1', '48.861963#2.335616#1'] 25
['48.856729#2.351007#0', '48.867465#2.341485#1'] 21
['48.865369#2.301374#1', '48.870106#2.300457#1'] 22
['48.865369#2.301374#1', '48.866972#2.306380#1'] 23
['48.865369#2.301374#1', '48.870409#2.309022#1'] 23
['48.866972#2.306380#0', '48.865369#2.301374#1'] 20
['48.865369#2.301374#1', '48.864499#2.296196#1'] 35
['48.865369#2.301374#1', '48.858574#2.298731#1'] 22
['48.865369#2.301374#1', '48.858221#2.294241#1'] 29
['48.866289#2.312551#0', '48.865369#2.301374#1'] 23
['48.864499#2.296196#0', '48.865369#2.301374#1'] 30
['48.866648#2.327865#0', '48.865369#2.301374#1'] 20
['48.871809#2.332093#0', '48.865369#2.301374#1'] 20
['48.865369#2.301374#1', '48.856729#2.351007#1'] 21
['48.847136#2.338479#0', '48.855393#2.343176#0'] 20
['48.847136#2.338479#0', '48.853002#2.338139#0'] 30
['48.847136#2.338479#0', '48.853269#2.332692#0'] 24
['48.847136#2.338479#0', '48.858574#2.298731#1'] 20
['48.847136#2.338479#0', '48.853076#2.348191#0'] 34
['48.847136#2.338479#0', '48.856729#2.351007#0'] 27
['48.847136#2.338479#0', '48.861963#2.335616#0'] 25
['48.865951#2.354525#1', '48.864097#2.361068#1'] 24
['48.864097#2.361068#0', '48.865951#2.354525#1'] 24
['48.865951#2.354525#1', '48.860468#2.351741#1'] 23
['48.861963#2.335616#0', '48.865951#2.354525#1'] 24
['48.867541#2.365082#1', '48.873294#2.363426#1'] 27
['48.867541#2.365082#1', '48.864097#2.361068#1'] 28
['48.867541#2.365082#1', '48.861005#2.364760#1'] 21
['48.867541#2.365082#1', '48.856729#2.351007#1'] 22
['48.873950#2.343426#1', '48.871809#2.332093#1'] 36
['48.873950#2.343426#1', '48.861963#2.335616#1'] 27
['48.861963#2.335616#0', '48.873950#2.343426#1'] 20
['48.863337#2.314387#0', '48.860044#2.325422#0'] 24
['48.863337#2.314387#0', '48.857877#2.336292#0'] 25
['48.863337#2.314387#0', '48.873868#2.295474#0'] 20
['48.863337#2.314387#0', '48.866972#2.306380#0'] 20
['48.863337#2.314387#0', '48.858574#2.298731#0'] 22
['48.863337#2.314387#0', '48.858221#2.294241#0'] 24
['48.863337#2.314387#0', '48.866289#2.312551#0'] 46
['48.863337#2.314387#0', '48.853076#2.348191#0'] 28
['48.863337#2.314387#0', '48.864878#2.323431#0'] 50
['48.863337#2.314387#0', '48.856729#2.351007#0'] 21
['48.863337#2.314387#0', '48.861963#2.335616#0'] 37
['48.884032#2.337730#1', '48.883694#2.332549#1', '48.886342#2.342193#1'] 24
['48.886342#2.342193#0', '48.884032#2.337730#1'] 31
['48.884032#2.337730#1', '48.871809#2.332093#1'] 20
