['41.375763#2.183247#0', '41.380809#2.173534#1'] 8
['41.375763#2.183247#0', '41.380809#2.173534#0'] 11
['41.375763#2.183247#0', '41.384923#2.171229#1'] 8
['41.375763#2.183247#0', '41.384923#2.171229#0'] 8
['41.408224#2.193522#0', '41.403743#2.189863#0'] 9
['41.412782#2.138351#0', '41.377652#2.168462#0'] 9
['41.412782#2.138351#0', '41.377652#2.168462#1'] 9
['41.407632#2.187027#0', '41.403743#2.189863#0'] 9
['41.388528#2.142038#0', '41.390827#2.146041#0'] 10
['41.398352#2.185392#0', '41.399424#2.181889#1'] 10
['41.398352#2.185392#0', '41.403743#2.189863#0'] 11
['41.407248#2.155776#1', '41.404690#2.151256#1'] 11
['41.356123#2.163270#0', '41.383618#2.103081#1', '41.508862#2.137822#1'] 8
['41.375877#2.136502#0', '41.380631#2.140779#0'] 8
['41.403667#2.195317#0', '41.403743#2.189863#0'] 14
['41.410551#2.175051#0', '41.414014#2.179518#0'] 8
['41.389155#2.190995#0', '41.386006#2.185055#0'] 10
['41.389155#2.190995#0', '41.386418#2.196942#0'] 8
['41.375376#2.154107#0', '41.376398#2.149827#0'] 8
['41.356123#2.163270#0', '41.508862#2.137822#0', '41.508862#2.137822#1'] 9
['41.459781#2.180323#0', '41.508862#2.137822#1'] 8
['41.395244#2.155300#1', '41.391277#2.155879#1'] 8
['41.394848#2.148512#0', '41.397996#2.142172#1'] 8
['41.385126#2.180032#1', '41.388262#2.176152#1'] 10
['41.385126#2.180032#1', '41.383014#2.176409#1'] 8
['41.397996#2.142172#0', '41.394848#2.148512#0'] 9
['41.403227#2.170063#0', '41.398142#2.170926#0'] 10
['41.403227#2.170063#0', '41.389976#2.166449#0', '41.403227#2.170063#1'] 16
['41.389828#2.180899#1', '41.403148#2.173893#1'] 9
['41.380427#2.178971#0', '41.383014#2.176409#0'] 8
['41.381235#2.123455#0', '41.403148#2.173893#0'] 13
['41.386905#2.129297#0', '41.387754#2.135875#0', '41.399424#2.181889#1'] 9
['41.414512#2.188433#0', '41.384891#2.163855#0'] 8
['41.356123#2.163270#0', '41.383618#2.103081#0'] 8
['41.356123#2.163270#0', '41.459781#2.180323#0'] 8
['41.356123#2.163270#0', '41.452277#2.190534#0'] 9
['41.386074#2.146283#0', '41.398820#2.162658#0'] 8
['41.386074#2.146283#0', '41.388783#2.150740#0'] 12
['41.386074#2.146283#0', '41.380631#2.140779#0'] 9
['41.508862#2.137822#0', '41.383618#2.103081#0'] 8
['41.508862#2.137822#0', '41.459781#2.180323#0'] 8
['41.508862#2.137822#0', '41.452277#2.190534#0'] 10
['41.373662#2.145563#1', '41.376398#2.149827#1'] 8
['41.383618#2.103081#0', '41.452277#2.190534#0'] 9
['41.395877#2.179108#1', '41.395227#2.175297#1'] 10
['41.395877#2.179108#0', '41.395227#2.175297#0', '41.395877#2.179108#1'] 8
['41.459781#2.180323#0', '41.452277#2.190534#0'] 8
['41.397560#2.159215#1', '41.393697#2.160463#1'] 9
['41.398142#2.170926#0', '41.395321#2.168734#0'] 11
['41.386905#2.129297#0', '41.382731#2.132358#0'] 8
['41.403227#2.170063#1', '41.403148#2.173893#1'] 8
['41.377405#2.189876#0', '41.381421#2.187706#0'] 13
['41.377405#2.189876#0', '41.383364#2.183132#0'] 9
['41.379384#2.156315#1', '41.383313#2.158160#1'] 8
['41.374992#2.165917#1', '41.377652#2.168462#1'] 14
['41.395321#2.168734#0', '41.395227#2.175297#1'] 10
['41.395321#2.168734#0', '41.386006#2.185055#0'] 9
['41.395321#2.168734#0', '41.395227#2.175297#0'] 9
['41.404690#2.151256#0', '41.400088#2.153158#0'] 12
['41.374992#2.165917#0', '41.375287#2.161057#0'] 8
['41.374992#2.165917#0', '41.377652#2.168462#0', '41.377652#2.168462#1'] 8
['41.374992#2.165917#0', '41.380763#2.163818#0'] 10
['41.398820#2.162658#0', '41.397560#2.159215#0'] 11
['41.398820#2.162658#0', '41.380631#2.140779#0'] 8
