['51.656983#-0.397661#0', '51.648648#-0.385811#1'] 20
['51.654661#-0.098659#0', '51.661095#-0.080059#0'] 23
['51.778548#0.124519#1', '51.770615#0.096327#1'] 20
['51.770615#0.096327#0', '51.778548#0.124519#1'] 30
['51.482156#0.104128#0', '51.468252#0.112412#0'] 17
['51.482156#0.104128#0', '51.486001#0.080646#0', '51.486001#0.080646#1'] 16
['51.578813#-0.369081#1', '51.582775#-0.341422#1'] 23
['51.468252#0.112412#0', '51.482156#0.104128#1'] 17
['51.418546#0.067441#0', '51.427331#0.052232#0'] 20
['51.418546#0.067441#0', '51.427331#0.052232#1'] 24
['51.754508#-0.320564#1', '51.750982#-0.338688#1'] 18
['51.750982#-0.338688#0', '51.754508#-0.320564#1'] 20
['51.614843#0.296966#0', '51.635110#0.290102#1'] 36
['51.635110#0.290102#1', '51.614843#0.296966#1'] 24
['51.615167#-0.266488#1', '51.607600#-0.280968#1'] 18
['51.612515#-0.248725#0', '51.615167#-0.266488#1'] 18
['51.615167#-0.266488#1', '51.612515#-0.248725#1'] 20
['51.440496#-0.347285#0', '51.448022#-0.378132#0'] 19
['51.440496#-0.347285#0', '51.446741#-0.324329#0'] 17
['51.440496#-0.347285#0', '51.431269#-0.332957#0'] 19
['51.399686#0.006115#1', '51.403787#0.021682#1'] 17
['51.333259#-0.253065#1', '51.338602#-0.266466#1'] 16
['51.338602#-0.266466#0', '51.333259#-0.253065#1'] 23
['51.764360#0.137565#1', '51.770615#0.096327#1'] 20
['51.770615#0.096327#0', '51.764360#0.137565#1'] 26
['51.494685#0.052456#1', '51.480043#0.066999#1'] 16
['51.445431#0.262926#1', '51.450035#0.207539#1'] 16
['51.661701#-0.037396#0', '51.646638#-0.046129#0'] 18
['51.754049#-0.444098#0', '51.754794#-0.470709#0'] 19
['51.588242#-0.035004#1', '51.592306#-0.010813#1'] 18
['51.373368#-0.099501#0', '51.386926#-0.067981#1'] 16
['51.487016#-0.322681#0', '51.494089#-0.306486#0'] 24
['51.332606#-0.120902#0', '51.314538#-0.156867#1'] 16
['51.754508#-0.320564#0', '51.750982#-0.338688#0'] 24
['51.517404#0.064597#0', '51.497508#0.071967#1'] 17
['51.517404#0.064597#0', '51.497508#0.071967#0'] 23
['51.391013#-0.126015#1', '51.409304#-0.127701#1'] 20
['51.391013#-0.126015#1', '51.390913#-0.108176#1'] 24
['51.344590#-0.044760#0', '51.373368#-0.099501#0'] 17
['51.455273#-0.065639#0', '51.461473#-0.079145#0'] 21
['51.409743#-0.302636#0', '51.390473#-0.314450#1'] 16
['51.532716#-0.475071#0', '51.524351#-0.440670#1'] 16
['51.578813#-0.369081#0', '51.573923#-0.395420#0'] 20
['51.578813#-0.369081#0', '51.582775#-0.341422#0'] 19
['51.602562#0.219355#0', '51.598094#0.240671#0'] 20
['51.602562#0.219355#0', '51.572324#0.192633#1'] 18
['51.602562#0.219355#0', '51.575607#0.180461#0'] 16
['51.396732#-0.035375#0', '51.376070#-0.016819#1'] 17
['51.641078#0.360185#1', '51.627097#0.329698#1'] 16
['51.627097#0.329698#0', '51.641078#0.360185#1'] 19
['51.558456#-0.326247#0', '51.573653#-0.296755#1'] 17
['51.558456#-0.326247#0', '51.549390#-0.301891#0'] 27
['51.558456#-0.326247#0', '51.580341#-0.321148#0'] 18
['51.333259#-0.253065#0', '51.338602#-0.266466#0'] 31
['51.654661#-0.098659#1', '51.661095#-0.080059#1'] 16
['51.661095#-0.080059#0', '51.654661#-0.098659#1'] 18
['51.376070#-0.016819#0', '51.396732#-0.035375#1'] 18
